group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube08.mask.fits.gz              156.94 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube08.pbcor.fits                146.21 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube09.fits                      292.71 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube09.mask.fits.gz              303.39 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube09.pbcor.fits                292.71 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube12.fits                      292.71 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube12.mask.fits.gz              309.29 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube12.pbcor.fits                292.71 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube13.fits                      146.21 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube13.mask.fits.gz              151.68 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube13.pbcor.fits                146.21 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_line.ms.contsub.tgz              9.24 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_line.ms.flagversions.tgz         1.67 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_line.ms.tgz                      18.20 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cont_mfs.fin.fits               165.94 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cont_mfs.fin.mask.fits.gz       1.37 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cont.ms.flagversions.tgz        130.05 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cont.ms.tgz                     4.03 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube00.fits                     1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube00.mask.fits.gz             1.21 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube00.pbcor.fits               1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube01.fits                     1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube01.mask.fits.gz             1.20 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube01.pbcor.fits               1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube02.fits                     1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube02.mask.fits.gz             1.16 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube02.pbcor.fits               1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube03.fits                     1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube03.mask.fits.gz             1.16 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube03.pbcor.fits               1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube04.fits                     1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube04.mask.fits.gz             1.15 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube04.pbcor.fits               1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube05.fits                     1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube05.mask.fits.gz             1.15 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube05.pbcor.fits               1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube06.fits                     1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube06.mask.fits.gz             1.19 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube06.pbcor.fits               1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube07.fits                     584.75 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube07.mask.fits.gz             612.14 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube07.pbcor.fits               584.75 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube08.fits                     584.75 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube08.mask.fits.gz             618.05 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube08.pbcor.fits               584.75 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube09.fits                     1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube09.mask.fits.gz             1.19 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube09.pbcor.fits               1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube10.fits                     1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube10.mask.fits.gz             1.19 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube10.pbcor.fits               1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube11.fits                     1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube11.mask.fits.gz             1.23 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube11.pbcor.fits               1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube12.fits                     1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube12.mask.fits.gz             1.22 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube12.pbcor.fits               1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube13.fits                     584.75 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube13.mask.fits.gz             621.50 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube13.pbcor.fits               584.75 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube14.fits                     1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube14.mask.fits.gz             1.17 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube14.pbcor.fits               1.14 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_extended_cube15.fits                     1.14 GB
